window,outcome,coef,p
"[0,+1]",abn_retail_buy_share,4.5e-05,0.889
"[0,+1]",abn_retail_sell_share,-3e-06,0.991
"[0,+1]",abn_unsigned_retail_share,-7.5e-05,0.88
"[0,+1]",abn_retail_dollar_share,4.1e-05,0.937
"[0,+1]",abn_nonretail_buy_share,-0.000693,0.542
"[0,+1]",abn_nonretail_sell_share,-0.001045,0.322
"[0,+1]",abn_nonretail_dollar_share,-4.1e-05,0.937
"[0,+1]",abn_retail_netbuy_scaled,3.5e-05,0.913
"[0,+1]",abn_nonretail_netbuy_scaled,0.001691,0.47
"[0,+5]",abn_retail_buy_share,1.9e-05,0.937
"[0,+5]",abn_retail_sell_share,-2.8e-05,0.884
"[0,+5]",abn_unsigned_retail_share,-0.000233,0.497
"[0,+5]",abn_retail_dollar_share,-9e-06,0.981
"[0,+5]",abn_nonretail_buy_share,-0.000494,0.545
"[0,+5]",abn_nonretail_sell_share,-0.000407,0.603
"[0,+5]",abn_nonretail_dollar_share,9e-06,0.981
"[0,+5]",abn_retail_netbuy_scaled,-3.7e-05,0.89
"[0,+5]",abn_nonretail_netbuy_scaled,0.000342,0.826
