k,return_bps,return_p,retail_oib,retail_p,resid_oib,resid_p
-5,-25.43,0.024,-0.00297,0.568,-0.00332,0.222
-4,-14.6,0.216,-0.0004,0.935,0.0,0.999
-3,-0.46,0.958,-0.00322,0.499,-0.00335,0.413
-2,2.51,0.792,0.00472,0.451,-0.00311,0.345
-1,9.83,0.198,-0.00549,0.338,-0.00202,0.544
0,24.58,0.007,-0.00204,0.691,-0.00131,0.693
1,15.88,0.111,0.00065,0.903,0.00178,0.61
2,0.43,0.968,-0.00335,0.52,-0.00382,0.206
3,-1.14,0.917,-0.00025,0.965,-0.00094,0.806
4,22.23,0.033,0.00546,0.234,-0.00024,0.942
5,17.84,0.097,-0.00539,0.381,0.00102,0.771
6,-2.85,0.76,0.00124,0.824,0.00132,0.68
7,7.03,0.405,0.00131,0.789,-0.00046,0.908
8,0.64,0.936,0.01476,0.006,-0.00455,0.26
9,-15.05,0.154,0.00561,0.251,0.00177,0.589
10,0.67,0.952,-0.00553,0.365,-0.00482,0.167
