split,category,outcome,treated_rows,coef,p,coef_bps
committee,committee,crsp_ret,516,0.000148,0.893,1.48
committee,noncommittee,crsp_ret,1581,0.002573,0.0021,25.73
committee,unclassified,crsp_ret,54,0.004053,0.2721,40.53
committee,committee,abn_retail_oib,516,0.004373,0.6599,43.73
committee,noncommittee,abn_retail_oib,1581,-0.001309,0.7542,-13.09
committee,unclassified,abn_retail_oib,54,-0.018066,0.3913,-180.66
committee,committee,abn_nonretail_oib,516,0.007563,0.1543,75.63
committee,noncommittee,abn_nonretail_oib,1581,-0.001624,0.6111,-16.24
committee,unclassified,abn_nonretail_oib,54,-0.017739,0.0966,-177.39
size_bucket,small,crsp_ret,1373,0.001313,0.1407,13.13
size_bucket,mid,crsp_ret,653,0.003208,0.0042,32.08
size_bucket,large,crsp_ret,132,0.003743,0.1984,37.43
size_bucket,small,abn_retail_oib,1373,-0.001953,0.7203,-19.53
size_bucket,mid,abn_retail_oib,653,-0.002271,0.7391,-22.71
size_bucket,large,abn_retail_oib,132,0.019341,0.18,193.41
size_bucket,small,abn_nonretail_oib,1373,-0.00513,0.1581,-51.3
size_bucket,mid,abn_nonretail_oib,653,0.008324,0.0282,83.24
size_bucket,large,abn_nonretail_oib,132,0.018203,0.0914,182.03
election_bucket,election,crsp_ret,236,0.001337,0.5261,13.37
election_bucket,nonelection,crsp_ret,1915,0.00212,0.0061,21.2
election_bucket,election,abn_retail_oib,236,0.007259,0.621,72.59
election_bucket,nonelection,abn_retail_oib,1915,-0.001321,0.7403,-13.21
election_bucket,election,abn_nonretail_oib,236,-0.007906,0.2276,-79.06
election_bucket,nonelection,abn_nonretail_oib,1915,0.00115,0.6926,11.5
